no,content,kategori,topik
1,"Universitas Telkom dipimpin oleh Rektor sebagai pimpinan tertinggi yang bertanggung jawab dalam penyelenggaraan dan pengelolaan Universitas, dibantu oleh para wakil rektor.",Definisi,Struktur Pimpinan Universitas
2,"Unit Pengelola Program Studi (UPPS) adalah unit yang memfasilitasi dan mengelola program studi; dapat berbentuk fakultas, direktorat, jurusan, atau unit tertentu yang ditetapkan Universitas.",Definisi,Struktur UPPS
3,Program Studi di Luar Kampus Utama (PSDKU) adalah program studi yang diselenggarakan di kabupaten/kota yang tidak berbatasan langsung dengan kampus utama. TUNC (Telkom University National Campus) adalah unit pengelola PSDKU.,Definisi,PSDKU dan TUNC
4,Dosen Tetap adalah dosen yang bekerja penuh waktu sebagai tenaga pendidik tetap di Universitas. Dosen Praktisi adalah profesional dari industri/pemerintahan. Dosen Tidak Tetap bekerja berdasarkan kontrak jangka pendek atau paruh waktu.,Definisi,Jenis Dosen
5,Dosen Wali adalah dosen tetap yang ditugaskan untuk melaksanakan pembinaan akademik dan nonakademik bagi mahasiswa serta menjembatani komunikasi antara Universitas dengan orang tua mahasiswa.,Definisi,Dosen Wali
6,Mahasiswa Penuh Waktu adalah mahasiswa yang tidak bekerja dan mengikuti pembelajaran pada waktu normal. Mahasiswa Paruh Waktu adalah mahasiswa yang bekerja dan mengikuti pembelajaran yang disesuaikan jadwalnya.,Definisi,Status Mahasiswa
7,Mahasiswa Inbound adalah mahasiswa dari perguruan tinggi lain (dalam/luar negeri) yang mengikuti perkuliahan di Universitas Telkom untuk waktu tertentu.,Definisi,Mahasiswa Inbound
8,Pendidikan Akademik adalah pendidikan tinggi pada program sarjana dan/atau pascasarjana yang diarahkan pada penguasaan dan pengembangan cabang keilmuan.,Definisi,Jenis Pendidikan
9,Pendidikan Vokasi adalah pendidikan tinggi pada program diploma yang menyiapkan mahasiswa menjadi profesional dengan keterampilan kerja tinggi pada keahlian terapan tertentu.,Definisi,Jenis Pendidikan
10,"Pendidikan Jarak Jauh (PJJ) adalah pendidikan yang mengutamakan metode pembelajaran jarak jauh melalui media komunikasi, dengan penyelenggaraan daring penuh lebih dari 50% dari total mata kuliah.",Definisi,Pendidikan Jarak Jauh
11,"Pendidikan Nongelar (microcredential) adalah program pendidikan jangka pendek dengan topik teknis dan spesifik untuk mendapatkan sertifikasi pada kualifikasi tertentu, dapat dilaksanakan daring maupun luring.",Definisi,Microcredential
12,"Kelas Internasional adalah kelas khusus dengan proses pembelajaran menggunakan Bahasa Inggris sebagai bahasa pengantar pada semua mata kuliah, kecuali Mata Kuliah Wajib Kurikulum (MKWK).",Definisi,Kelas Internasional
13,Program Gelar Bersama Internasional (Joint Degree) adalah penyelenggaraan kegiatan bersama antar perguruan tinggi mitra luar negeri untuk melaksanakan suatu program studi dan saling mengakui lulusannya.,Definisi,Joint Degree
